dt,kabupaten,jumlah_kejadian,meninggal,hilang,luka_sakit,menderita,mengungsi,rumah_rusak_berat,rumah_rusak_sedang,rumah_rusak_ringan,rumah_terendam,estimasi_kerugian_rumah,pendidikan_rusak,fasyankes_rusak,rumah_ibadat_rusak,fasum_rusak,jembatan_rusak,kantor_rusak
2018-02-06 00:01:00,Kota Adm. Jakarta Timur,1,0,0,0,0,4826,0,0,0,0,0,0,0,0,0,0,0
2018-02-05 00:01:00,Kota Adm. Jakarta Selatan,0.5,0,0,1,0,8616,0,0,0,227,227,0,0,0,0,0,0
2018-02-05 00:01:00,Kota Adm. Jakarta Timur,0.5,1,0,0,5757,4489,0,0,0,350,350,0,0,0,0,0,0
2017-12-11 08:08:08,Kota Adm. Jakarta Timur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-19 08:08:08,Kota Adm. Jakarta Selatan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 08:08:08,Kota Adm. Jakarta Selatan,1,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 08:08:08,Kota Adm. Jakarta Timur,1,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-02 08:08:08,Kota Adm. Jakarta Timur,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
2017-04-01 08:08:08,Kota Adm. Jakarta Timur,1,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
2017-03-28 08:08:08,Kota Adm. Jakarta Pusat,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-17 08:08:08,Kota Adm. Jakarta Selatan,1,0,0,0,3266,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-09 08:08:08,Kota Adm. Jakarta Timur,1,0,0,0,591,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-02 08:08:08,Kota Adm. Jakarta Selatan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-24 08:08:08,Kota Adm. Jakarta Barat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-21 08:08:08,Kota Adm. Jakarta Timur,1,3,0,0,4806,7808,0,0,0,1178,1178,0,0,0,0,0,0
2017-02-20 08:08:08,Kota Adm. Jakarta Timur,1,0,0,0,372,1406,0,0,0,0,0,0,0,0,0,0,0
2017-02-12 08:08:08,Kota Adm. Jakarta Selatan,1,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-11 08:08:08,Kota Adm. Jakarta Selatan,1,0,0,0,55,55,0,0,0,88,88,0,0,0,0,0,0
2016-11-09 08:08:08,Kota Adm. Jakarta Selatan,1,0,0,0,2024,0,0,0,0,610,610,0,0,0,0,0,0
2016-10-11 08:08:08,Kota Adm. Jakarta Timur,1,0,0,0,3331,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-25 08:08:08,Kota Adm. Jakarta Barat,1,0,0,0,135,135,0,0,0,0,0,0,0,0,0,0,0
2016-09-07 08:08:08,Kota Adm. Jakarta Selatan,1,0,0,0,45,20,0,0,0,0,0,0,0,0,0,0,0
2016-09-07 08:08:08,Kota Adm. Jakarta Timur,1,0,0,0,718,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-28 08:08:08,Kota Adm. Jakarta Timur,1,0,0,0,80,0,0,0,0,20,20,0,0,0,0,0,0
2016-08-28 08:08:08,Kota Adm. Jakarta Barat,1,0,0,0,94,0,0,0,0,13,13,0,0,0,0,0,0
2016-08-27 08:08:08,Kota Adm. Jakarta Selatan,1,0,0,0,31622,216,0,0,0,0,0,0,0,0,0,0,0
2016-08-19 08:08:08,Kota Adm. Jakarta Selatan,1,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2016-07-22 08:08:08,Kota Adm. Jakarta Selatan,1,0,0,0,1665,32,0,0,0,0,0,0,0,0,0,0,0
2016-07-22 08:08:08,Kota Adm. Jakarta Barat,1,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-25 08:08:08,Kota Adm. Jakarta Timur,1,0,0,0,6171,0,0,0,0,1466,1466,0,0,0,0,0,0
2016-04-26 08:08:08,Kota Adm. Jakarta Timur,1,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-22 08:08:08,Kota Adm. Jakarta Selatan,1,0,0,0,4424,365,0,0,0,0,0,0,0,0,0,0,0
